,content,prob,Sentimental,Date
2009,"Korea's gilded ageBy John Burton  The last couple of years has seen a series of chains that have weakened the status quo by making the nation’s leaders more accountable for their actions and which has now cumulated in the imprisonment of former President Park Geun-hye and Lee Jae-yong, the de facto head of Sams2017-04-05",0.7440881133079529,Positive,2017-04-05
2010,"Two thumbs up for Galaxy S8 display qualityBy Kang Seung-woo The OLED display of  ’ Galaxy S8 has received the highest-ever grade by a U.S. display evaluator, according to  Display, Wednesday. Display offers the screen for the latest Galaxy phone, which was unveiled last week.“The Galaxy S8 deliver  2017-04-05",0.9702420234680176,Positive,2017-04-05
2012,"Shinsegae opens new suburban outletSeen above is an exterior view of Siheung Premium Outlets in Gyeonggi Province, southwest of Seoul, which will open today. / Courtesy of Shinsegae SimonBy Park Jae-hyukSIHEUNG, Gyeonggi Province ― Another mega-sized suburban outlet targeting families with children will open today southwest of Seoul   2017-04-05",0.9710289239883423,Positive,2017-04-05
2013," streamlines auto parts businessBy Lee Min-hyung  has established a new division to coordinate and smooth out its plan to streamline its auto parts business globally.Earlier this month, the nation’s leading  company created the division, dubbed “synergy group,” which will coordinate v  2017-04-05",0.9311763048171997,Positive,2017-04-05
2015,[Reporter's Notebook] 'Cisco Act' should be introducedBy Yoon Sung-won Calls are surfacing for the introduction of a bill to stop foreign limited liability companies from exploiting loopholes in the law to sidestep taxes. The government and the legislature have been urged to expedite their efforts to plug the legal loopholes they have made.Limited liab  2017-04-04,0.8846976161003113,Negative,2017-04-04
2016,"Ex-president questioned for 1st time after arrestBy Lee Kyung-minThe prosecution questioned former President Park Geun-hye at the Seoul Detention Center, Tuesday, the first such interrogation after she was taken into custody.Han Woong-jae, a senior prosecutor from the Seoul Central District Prosecutors Office, who is investigating the corruption s  2017-04-04",0.9385333061218262,Positive,2017-04-04
2018,"Large firms downsizing workforceBy Lee Hyo-sik and other large business groups have been downsizing their workforces over the past few years as part of cost-cutting to cope with the prolonged economic downturn, analysts said Sunday.They say the trend will likely continue this year and beyond against an increasingly uncertai  2017-04-04",0.7854093909263611,Negative,2017-04-04
2021,"Galaxy S8 comes with high-end earbudsA visitor listens to music at the Harman flagship store in Manhattan, New York, on March 28.  ’ Galaxy S8 smartphone will come bundled with a pair of wired earphones from Harman’s AKG brand.  acquired Harman last month. / Courtesy of  By Kang Se  2017-04-03",0.8592724800109863,Positive,2017-04-03
2022,"  joins top three chipmakersBy Lee Min-hyung  joined the ranks of the world’s top three chipmakers in sales by overtaking U.S.-based giants Qualcomm and Micron Technology, according to the consultancy IHS, Monday.During the fourth quarter of last year,   chalked up $4.8 billion (5.35 trillion won) in sales   2017-04-03",0.9015218615531921,Positive,2017-04-03
2023," seeks rebound in China with new phoneBy Kang Seung-woo   is seeking to regain its past success in China with a dedicated version of its new Galaxy S8 smartphone.According to the South China Morning Post, Sunday (local time),  is expected to hold a press conference in mid-April to launch its latest smartphone wi  2017-04-03",0.8939318060874939,Positive,2017-04-03
2024," Galaxy S8 gaining attention in USVisitors try out  ’ Galaxy S8 and S8 Plus at a Best Buy store in Union Square in Manhattan, New York, Thursday. Courtesy of  By Kang Seung-woo NEW YORK ― Pre-orders for  ’ brand new premium Galaxy S8 smartphone are off to a good start  2017-04-02",0.9368815422058105,Positive,2017-04-02
2025,Park to be questioned Tuesday in prisonBy Jung Min-hoFormer President Park Geun-hye will be questioned Tuesday at the Seoul Detention Center as the prosecution carries on its investigation into the major corruption scandal involving her close friend Choi Soon-sil.The Seoul Central District Prosecutors’ Office said Sunday that prose  2017-04-02,0.8331923484802246,Positive,2017-04-02
2026,",  vie for aggressive marketing for flagship smartphoneBy Lee Min-hyung and  are going all-out to promote their new flagship smartphones, in a bid to dominate in their rivalry amid the stagnant growth in the premium handset market.With   unveiling its the Galaxy S8 Wednesday, the nation’s leading handset vendors are push  2017-04-02",0.8540247678756714,Positive,2017-04-02
2028,"Probe to target ex-aide Woo and business groupsBy Lee Kyung-min Expectations are growing that the prosecution will accelerate its long-stalled investigation into former presidential secretary Woo Byung-woo and major business groups, following the arrest of former President Park Geun-hye.The Seoul Central District Court issued the arrest warrant   2017-03-31",0.8433557152748108,Positive,2017-03-31
2029,"Prisoner Park's life on the insideBy Ko Dong-hwanWhether seeking redemption or revenge, former President Park Geun-hye now has plenty of time to think about things in a tiny prison cell while waiting for her indictment. She became Korea’s third leader to wear prisoners’ garb after Seoul Central District Court at 3 a.m. F  2017-03-31",0.9847182631492615,Positive,2017-03-31
2030," Galaxy 8 commercial stuns New York [VIDEO]  ran high-definition video commercials of the Galaxy 8 at Times Square displays on Mar. 30. / Courtesy of  By Eom Da-solOn Mar. 30, 42 screens in New York’s Times Square featured whales swimming through a deep blue ocean.As crowds gazed in awe, the screen&r  2017-03-31",0.9205195307731628,Positive,2017-03-31
2031,"Galaxy S8 receiving rave reviewsVisitors to  ’ ‘unpacked’ event for its flagship Galaxy S8 smartphone join a hands-on demonstration session at the Lincoln Center in New York, Wednesday (local time). / Courtesy of  New phones to be available on April 21By Kang Seung-wooNEW YORK   2017-03-30",0.8979064226150513,Positive,2017-03-30
2032," expects Galaxy S8 to outsell S7By Kang Seung-wooNEW YORK —   expects its new Galaxy S8 smartphone to outsell its successful predecessor, the S7.The new handset is drawing rave reviews after it was unveiled Wednesday (local time) in two different models — the standard S8 with a 5.8-inch display and a   2017-03-30",0.9755875468254089,Positive,2017-03-30
2033,"[ED]  eyes rebound unveiled its new flagship smartphone in New York’s Lincoln Center Thursday. The Galaxy S8 smartphones, which will be available starting April 21, have been advertised as quicker, smarter and more stylish than their predecessors.This is the first time for the  giant to unveil2017-03-30",0.9854759573936462,Positive,2017-03-30
2034,"2017 Seoul Motor Show focuses on future mobilityMahindra & Mahindra Group Chairman and Managing Director Anand Mahindra, front row third from left, poses with Ssangyong Motor executives during an unveiling event for the G4 Rexton SUV at KINTEX in Goyang, Gyeonggi Province, Thursday. / Courtesy of Ssangyong MotorBy Jhoo Dong-chanParticipating   2017-03-30",0.8238157629966736,Positive,2017-03-30
2036,"Park's court hearing raises questions about her futureOusted former Korean President Park Geun-hye enters Seoul Central District Court in Seocho-gu, Seoul, Thursday morning, to face a court hearing over 13 charges including bribery, coercion, abuse of power and the leaking of state secrets. / Yonhap By Ko Dong-hwanOusted former Korean President Park Ge  2017-03-30",0.7762607336044312,Negative,2017-03-30
2038,Galaxy S8 comes with innovative features [VIDEO]By Kang Seung-woo  Galaxy S8 smartphone / Courtesy of  NEW YORK ―  ’ long-awaited Galaxy S8 smartphone is ready to wow Android users or even those who are disappointed with Apple’s iPhone 7.The world’s largest smartphone maker held an unpa  2017-03-30,0.9663464426994324,Positive,2017-03-30
2039," unveils Galaxy S8 [VIDEO]Koh Dong-jin, president of mobile communications business at  , shows off the Galaxy S8 and S8 Plus during an “unpacked” event at the Lincoln Center in New York, Wednesday.  will accept preorders for the smartphone from next month in Korea and the United States.   2017-03-30",0.9185518622398376,Positive,2017-03-30
2040,"Hanon Systems leads eco-friendly car marketHanon Systems President and CEO Lee In-young / Courtesy of Hanon SystemsBy Jhoo Dong-chanHanon Systems may be less known to the public for its air conditioning products compared to its strong presence in the global automotive industry. As far as eco-friendly technologies are concerned, however, it s  2017-03-29",0.9179901480674744,Positive,2017-03-29
2041,"6 indicted for making  chief's sex tapeBy Jung Min-hoProsecutor have indicted six people on charges of illegally recording sex videos of   Chairman Lee Kun-hee and blackmailing the company.According to the Seoul Central District Prosecutors’ Office, Tuesday, six people, including a former employee of CJ CheilJedan  2017-03-29",0.8801101446151733,Negative,2017-03-29
2042,"Park Geun-hye desperate to avoid arrestFormer President Park Geun-hyeBy Jung Min-hoFormer President Park Geun-hye will defend herself in a court hearing today in a desperate move to avoid arrest.During the session scheduled for 10:30 a.m. at the Seoul Central District Court, Park will explain why she should not be detained to Judge Kang   2017-03-29",0.8690628409385681,Positive,2017-03-29
2043,"Kakao, Naver rise fast in brand listStuart Green, CEO of Interbrand’s Asia-Pacific office, delivers an opening speech at the 2017 Best Korea Brands forum at Grand Hyatt Seoul, Wednesday. / Courtesy of Interbrand By Park Jae-hyukKakao and Naver have fast risen in brand value among the 50 best brands representing the country this   2017-03-29",0.9844054579734802,Positive,2017-03-29
2046," hopes to be 'human global brand'Pio Schunker, senior vice president of  ’ mobile communications business, speaks during a press conference at the firm’s experience center named  837 in New York, Monday (local time). / Courtesy of  By Kang Seung-wooNEW YORK ― Setting aside its   2017-03-28",0.9239437580108643,Positive,2017-03-28
2047," 837 to outshine Apple Store'An inside view of  837 / Courtesy of  Fancy experience center rising as New Yorkers’ digital playgroundBy Kang Seung-wooNEW YORK -- One year was enough for  837, the brand’s flagship experience center, to emerge as a new landmark in New York, attracting al  2017-03-28",0.9830546975135803,Positive,2017-03-28
2049,"New  flagship's supply may fall behind demand: sourcesThe supply of   Co.'s upcoming flagship smartphone, presumably the Galaxy S8, may fail to meet demand due to the sluggish production of Qualcomm chipsets, industry sources said Tuesday.The outlook came as the new top-of-the-line model is expected to become the first smartphone to a2017-03-28",0.9473351240158081,Negative,2017-03-28
2050,"New gadget already benefits parts affiliatesBy Kang Seung-wooNEW YORK ― The  ’ upcoming Galaxy S8 smartphone is expected to help its major parts suppliers ― grappling with the fallout from last year’s Galaxy Note 7 fiasco ― rebound in profits, market watchers said Monday.The short-lived Note 7 ― released in Augus  2017-03-27",0.8631670475006104,Negative,2017-03-27
2051,"Galaxy S8 expected to surpass S7 sales tallySeen above is Lincoln Center in New York.   plans to unveil its Galaxy S8 smartphone at the center’s David Geffen Hall, Wednesday (local time). / Courtesy of  Sales forecast to top 6 millionBy Kang Seung-wooNEW YORK ―  ’ next-generati  2017-03-27",0.9011834859848022,Positive,2017-03-27
2052,"Cisco rapped for sidestepping tax codesNew CEO faces tough tas aheadBy Yoon Sung-won Cho Bum-coo, Cisco Korea presidentCisco Systems is accused of sidestepping tax codes in Korea and shifting tax burdens to its local distribution partners, according to industry sources Monday.As far as business is concerned, the U.S.-based network equi  2017-03-27",0.8972720503807068,Negative,2017-03-27
2053,Chronology of events leading to Park's arrestThe following is a chronology of major events leading to the prosecution's decision Monday to seek an arrest warrant for former President Park Geun-hye on charges of corruption. (Yonhap)2016Oct. 24: Cable TV network JTBC unveils a tablet PC presumed to be used by Choi and reports allegations of her   2017-03-27,0.7670573592185974,Positive,2017-03-27
2055," to unveil next big phone this weekA teaser poster of  ’Galaxy S8 smartphoneGalaxy S8 available in Korea, US in AprilBy Kang Seung-wooNEW YORK - As the much-heralded debut of  ’ Galaxy S8 smartphone nears, there has been plenty of talk about its features and specifications.The Korean te  2017-03-26",0.9593040943145752,Positive,2017-03-26
2056,"Netmarble founder set to make rich listNetmarble founding CEO Bang Jun-hyuk speaks about the firm’s business strategies during the third Netmarble Together with Press event at Glad Hotel on Yeouido, Seoul, in January. Bang is expected to become the nation’s sixth-richest man in May when the firm will be listed on the KOSPI bo  2017-03-26",0.9476190209388733,Positive,2017-03-26
2057," takes on Google, Apple in AIBy Lee Min-hyung  is taking on Google and Apple to grab the lion’s share in the highly potential artificial intelligence (AI) industry.The Seoul-based tech behemoth confirmed this week that its upcoming flagship smartphone, the Galaxy S8, would be equipped with its new AI ass  2017-03-24",0.7996930480003357,Positive,2017-03-24
2058,"Korean tech titans speed up mobile pay warBy Kang Seung-woo  PayThe rivalry between   and   is expanding to mobile payment systems as the two tech giants are moving forward with the cashless system. launched its mobile payment service  Pay in India, Wednesday, expanding its presence in the  2017-03-24",0.9589778780937195,Positive,2017-03-24
2060," G6 gets off to good startSeen above are smartphone retail stores at Techno Mart in Sindorim, Seoul, Wednesday afternoon. Techno Mart is dubbed the shrine of illegal subsidies in Korea. / Korea Times photo by Lee Min-hyungBy Lee Min-hyungSales of  ’ premium G6 smartphone are getting off to a good start, wi  2017-03-23",0.777531087398529,Negative,2017-03-23
2062,"Brokerages compete to raise target prices of  shareBy Yoon Ja-youngAnalysts are raising their target prices for  ’ shares which have been soaring to record highs during the past few days. Some expect it to rise above 2.7 million won ($2,409) on improving performance and generous dividend payout plans.The tech giant closed at   2017-03-22",0.8338088989257812,Negative,2017-03-22
2063,"Park's arrest up to law and principle'Former President Park Geun-hye exits the Seoul Central District Prosecutors' Office in southern Seoul, Wednesday, after more than 21 hours of questioning and reviewing statements on criminal charges made against her, including bribery. / Korea Times photos by Ko Young-kwonFormer president returns ho  2017-03-22",0.7265109419822693,Positive,2017-03-22
2065,[INTERVIEW] Yozma helps Korean startups go globalYozma Group Korea CEO Lee Won-jae / Courtesy of Yozma Group KoreaIsraeli venture capital set to launch fund to invest in high-tech companiesBy Park Hyong-ki Notable entrepreneurs and investors such as PayPal founder Peter Theil say more than 90 percent of startups fail.It does not matter whether the  2017-03-22,0.939358115196228,Negative,2017-03-22
2066,"Park becomes 4th president to be questioned as criminal suspectBy Kim Bo-eun  Chun Doo-hwanRoh Tae-wooRoh Moo-hyunFormer President Park Geun-hye being questioned by the prosecution, Tuesday, on charges related to the influence-peddling scandal which led to her removal from office, has made her the fourth president in modern Korean history to be summoned by pros  2017-03-21",0.7718706130981445,Positive,2017-03-21
2067,"Gloomy 79th anniversary for By Yoon Sung-won  Group marks its 79th anniversary today with the head of   Vice Chairman Lee Jae-yong behind bars on bribery charges. This year also coincides with the 30th anniversary of the death of Lee Byung-chul, the group’s founder, and the inauguration of his so  2017-03-21",0.969481348991394,Positive,2017-03-21
2068,"Korea ranks 6th in future preparednessLack of openness pointed out as major weaknessBy Yoon Sung-won Korea received positive reviews in sustainability and preparedness for the future compared with all 34 member nations of the Organization for Economic Cooperation and Development (OECD), according to the Wake Up Foundation, Tuesday.In th  2017-03-21",0.9624317288398743,Positive,2017-03-21
2071,"Slip of finger unnerves Deutsche SecuritiesBy Nam Hyun-wooDeutsche Securities Korea is feared to face heavy fines from Korea’s bourse operator, which is investigating the brokerage’s fat-finger error from January.According to industry sources, the Korea Exchange (KRX) is set to hold a market oversight committee this Friday to dis  2017-03-21",0.9621239900588989,Positive,2017-03-21
2072," showcases next-generation QLED TVKim Hyun-suk, president of the visual display business at  , poses next to a QLED TV at a press conference in Seoul, Tuesday. / Courtesy of  By Kang Seung-woo   unveiled its premium QLED TV lineup to local consumers, Tuesday, highlighting upgrade  2017-03-21",0.9355684518814087,Positive,2017-03-21
2073,"  shares expected to extend gainsBy Kang Seung-woo  share prices are expected to rise further on a strong earnings outlook, analysts said Monday.“  is forecast to make an operating profit of 10 trillion won ($8.9 billion) in the first quarter of the year, so its stock price has been adjuste  2017-03-20",0.8733397126197815,Positive,2017-03-20
2076,"Korean economy entering '5%-5%' depressing phaseHigh jobless rate, rising interest rate overshadow economyBy Yoon Ja-young  Whenever the economic satiation in the United States improved, Korea used to enjoy a trickle-down effect as it was closely related with the world’s largest economy.However, the two are showing signs of decoupling as Ko  2017-03-17",0.7248477935791016,Negative,2017-03-17
2077," Group chief offers helping hands to societyBy Yoon Sung-won  Group and its Chairman Koo Bon-moo are setting an example of social responsibility through donations.Though the conglomerate usually does not make a fuss about its beneficence, its corporate social responsibility (CSR) activities are being hailed amid recent corruption scandals i  2017-03-17",0.9729574918746948,Positive,2017-03-17
2078,"Dealing with depressing national newsParticipants in the last candlelit protest in Seoul on March 11 show their happiness after the Constitutional Court upheld former President Park Geun-hye’s impeachment. / Korea Times fileBy Kim Ji-sooA 50-something woman surnamed Bang and living in Tongyeong, South Gyeongsang Province said she  2017-03-17",0.9346867799758911,Positive,2017-03-17
2079," to introduce 6-nanometer techBy Lee Min-hyung  plans to introduce its newest 6nm chipmaking technology at its upcoming forum slated for this May, the company said in its newsroom, Thursday.This is the first time in the world’s semiconductor industry that a chipmaker has ever introduced a 6nm-level proces  2017-03-16",0.8832120895385742,Positive,2017-03-16
2080," undergoes turbulent month after chief's arrestBy Lee Min-hyung Group has suffered some internal turbulence in the month since its de facto leader Lee Jae-yong was arrested, but its businesses have been unscathed by the turmoil surrounding the firm’s involvement in the latest political scandal.The   vice chairman h  2017-03-16",0.9575252532958984,Positive,2017-03-16
2082,"Trump uses five-year-old  Galaxy smartphoneBy Kang Seung-woo U.S. President Donald Trump is still using  ’ old, unsecured Galaxy S3 smartphone, raising security concerns it may leave him vulnerable to hackers, according to media reports, Thursday.Amid growing concerns, more than a dozen members of Congress demanded th  2017-03-16",0.723827600479126,Negative,2017-03-16
2084,"Park to be summoned TuesdayPhotojournalists mark a spot for taking photos in front of the Seoul Central District Prosecutors’ Office in southern Seoul, Wednesday, after the prosecution notified former President Park Geun-hye to attend questioning there March 21. / Korea Times photo by Hong In-keeBy Kim Bo-eunThe prosecu  2017-03-15",0.7632232308387756,Positive,2017-03-15
2085,"Creators of  chairman's sex tape arrestedBy Jung Min-ho All three suspects who made sex videos of   Chairman Lee Kun-hee face prosecution, according to prosecutors Wednesday.Police had detained a former employee of CJ CheilJedang, surnamed Seon, 56, his brother, 46, and another accomplice surnamed Lee, 38, for allegedly r  2017-03-15",0.7397412657737732,Negative,2017-03-15
2087,"Seoul stocks extend rally as uncertainty easesDealers look at an electronic board at KEB Hana Bank headquarters in Seoul, Tuesday. The KOSPI closed at 2,133.78 points, up 0.76 percent, the highest since May 27, 2015, when it reached 2,134.95. / Yonhap  hits all-time high on foreign buyingBy Park Hyong-kiSeoul stocks rallied to  2017-03-14",0.877378523349762,Positive,2017-03-14
2088,"KT shows off self-driving car for PyeongChangA driver rides KT’s autonomous bus without touching the steering wheel in a demonstration at the Alpensia Resort in Gangwon Province, the main venue of the 2018 PyeongChang Winter Olympics, Tuesday. / Korea Times photo by Yoon Sung-won By Yoon Sung-won PYEONGCHANG _ KT demonstrated diverse fif  2017-03-14",0.7902470827102661,Positive,2017-03-14
2089,"Hype builds up for next  phoneBy Lee Min-hyung ’ mobile unit hopes to bounce back this year, with expectations running high over its upcoming flagship Galaxy S8 smartphone, featured with a bezel-less and larger display.The new premium handset will make its debut Mar. 29 to fill the void left by the global  2017-03-13",0.7498679757118225,Negative,2017-03-13
2090,"Park Geun-hye faces questioningProsecutor General Kim Soo-nam leaves the Supreme Prosecutor's Office in southern Seoul, Monday. The prosecution will question former President Park Geun-hye as early as this week. / YonhapBy Jung Min-hoThe prosecution plans to summon former President Park Geun-hye, who has lost her presidential imm  2017-03-13",0.7057384848594666,Negative,2017-03-13
2093,"Park may be banned from leaving countryAn investigator and a moving crew load boxes of investigation material from the independent counsel team’s office to move them to the Seoul Central District Prosecutors’ Office, March 3. / YonhapBy Lee Kyung-min Speculation mounted Sunday as to whether the prosecution would impose a trav  2017-03-12",0.9544219374656677,Negative,2017-03-12
2094,"Leeum faltering amid  scandalThis file photo shows Leeum,  Museum of Art in Hannam-dong, Seoul. The private museum canceled a major retrospective of Kim Whan-ki scheduled to open in April after its director Hong Ra-hee and deputy director Hong Ra-young resigned last week. / Courtesy of LeeumDeputy director Hong Ra-young   2017-03-12",0.9812976121902466,Negative,2017-03-12
2095,",  win international design awards ’ award-winning interactive smart display By Kang Seung-woo   and   have been recognized for their excellent design at a prestigious international design award in Germany. landed 49 awards at the International Forum (iF) Design Awards in  2017-03-12",0.9864423274993896,Positive,2017-03-12
2096, completes Harman acquisitionBy Kang Seung-woo  announced Saturday that it has completed the acquisition of Harman International Industries.The $8 billion (9.2 trillion won) deal is expected to help the Seoul-based company establish itself as a significant presence in the rapidly growing connected car market.T  2017-03-12,0.8956935405731201,Positive,2017-03-12
2098,"Division, leadership vacuum weigh on economyA supporter of President Park Geun-hye holds up her portrait during a rally opposing her impeachment in Seoul, Friday. In a historic ruling, the Constitutional Court formally removed the impeached president from office over a corruption scandal that has plunged the country into political turmoil, wo  2017-03-10",0.8652970194816589,Positive,2017-03-10
2099,"Crony capitalism could disappearConstitutional Court’s acting President Lee Jung-mi, center, and other justices deliver a ruling on the impeachment of President Park Geun-hye to remove her from office, Friday, at the court in Seoul. / Joint Press Corps By Yoon Ja-youngThe impeachment verdict on former President Park Geun-hye  2017-03-10",0.8241950869560242,Negative,2017-03-10
2100,"Impeached Park faces unfettered investigation, loses benefitsProtesters at the fifth nationwide weekly demonstration on Nov. 27 demand Park Geun-hye’s resignation over the corruption scandal. They are pictured on Jahamun-ro in Jongno-gu, Seoul. Park’s effigy in a prisoner’s uniform and bound by rope is being held by the protesters. / Korea T  2017-03-10",0.73377525806427,Negative,2017-03-10
2101,More Korean firms suffer THAAD retaliationLotte to remain in China despite losses By Yoon Sung-won More Korean companies are falling victim to escalating Chinese retaliation against the deployment of a U.S. anti-missile system here.Lotte affiliates are suffering the most from China’s retaliatory acts after the group decided to provide  2017-03-09,0.9709829092025757,Negative,2017-03-09
2103," pins hopes on G6 smartphone  Vice Chairman Jo Seong-jin, second from left, looks at the firm’s new flagship G6 smartphone at a company booth set up at this year’s Mobile World Congress (MWC) in Barcelona, Spain, Feb. 28 (local time). / Courtesy of  By Lee Min-hyung  is pinnin  2017-03-09",0.8391042947769165,Positive,2017-03-09
2104, heir denies all criminal charges at first trial Group heir Lee Jae-yong denied bribery and other criminal charges filed by special prosecutors in the corruption scandal involving President Park Geun-hye at his first court hearing in Seoul on Thursday.The vice chairman of   claimed innocence through his lawyers at the hea2017-03-09,0.7259257435798645,Positive,2017-03-09
2105,"Korea lags rivals in AI development raceBy Lee Min-hyungSouth Korea has a long way to go before gaining competitiveness in artificial intelligence (AI).Following the Google-developed supercomputer AlphaGo’s victory against human go champion Lee Se-dol a year ago, calls have grown for the government to spearhead local AI development   2017-03-08",0.8806286454200745,Positive,2017-03-08
2106,"US slams ,  for unfair trade practicesBy Kang Seung-woo A top trade adviser to U.S. President Donald Trump lashed out against   and  , Monday, for unfair trade practices that hurt their American rivals.The unusual lambasting is raising concern that the new U.S. administration is beginning to exert trade pr  2017-03-07",0.9585689902305603,Negative,2017-03-07
2110," G6 pre-orders top 40,000 in 4 daysBy Kang Seung-woo  ’ G6 smartphone is becoming a big hit in the local market as pre-orders have surpassed 40,000 in just four days, the tech giant said Monday.The Seoul-based firm believes that its enhanced marketing strategies have brought about the stronger-than-expected demand   2017-03-06",0.9758872985839844,Positive,2017-03-06
2112,"Constitutional Court ruling looming as early as this weekActing Constitutional Court President Lee Jung-mi walks to the court in Jongno, central Seoul, Sunday. Korea Times photo by Wang Tae-seok Park’s political life hangs in balanceBy Lee Kyung-minAnticipation is running high over the future course of action by President Park Geun-hye, Sunday, with  2017-03-05",0.879796028137207,Positive,2017-03-05
2115," Motor vs. labor unionBy Sah Dong-seokNo one can deny that  Motor is one of the two pillars bolstering Korea Inc. along with  . Employing nearly 68,000 workers, the nation’s top automaker posted 93 trillion won in sales last year. The company’s problems are often seen as a harbinger o  2017-03-03",0.8492459058761597,Positive,2017-03-03
2116,"Chinese smartphone makers fill 's void at MWCVisitors crowd the Oppo booth at this year’s Mobile World Congress in Fira Gran Via convention hall in Barcelona, Spain, Wednesday. The Chinese smartphone maker has drawn the spotlight for its latest camera technology. / Korea Times photo by Lee Min-hyungBy Lee Min-hyungBARCELONA ― China&rsquo  2017-03-02",0.9483179450035095,Positive,2017-03-02
2117,"Counsel hands over probe to prosecutionBy Kim Bo-eunThe independent counsel team will hand over its investigation records into the presidential scandal to the prosecution today, following the expiration of its mandate Tuesday, according to officials.The prosecution will likely set up a special team to reassume another investigation, afte  2017-03-02",0.8328139781951904,Positive,2017-03-02
2118,"  creates quality control officeBy Kang Seung-woo   has set up an office in charge of improving product quality, the tech giant announced, Thursday.  Kim Jong-hoThe move is the latest step for the company to recover from the humiliating global recall of its Galaxy Note 7 smartphones last year and regain consumer   2017-03-02",0.8059800863265991,Positive,2017-03-02
2119,"[ED] 's new startControl change should engender radical management shiftCritics of  Group have long warned that its top-down system, the erstwhile secret of its success, could turn into a poisoned chalice that would bring down the corporate dynamo.The nucleus of that cultural beast was put away as Korea&rsquo2017-03-01",0.9940780401229858,Negative,2017-03-01
2120," to build plant in TennesseeBy Yoon Sung-won  will build a home appliance plant in the United States, its first investment after U.S. President Donald Trump took office early this year.The Seoul-based tech giant said Tuesday that it would establish the 74,000-square-meter plant in Tennessee where it would manufact  2017-03-01",0.8464400172233582,Positive,2017-03-01
2121,"Mass fight breaks out at  plant in Vietnam [VIDEO]By Jung Min-hoA massive fight involving hundreds of factory workers broke out at a  Display plant in Vietnam, Tuesday, according to media reports.VnExpress, a Vietnamese online media outlet, said employees of  Display clashed with guards at the plant in the country’s northern Bac  2017-02-28",0.8140285611152649,Negative,2017-02-28
2122,", Jio strengthening network partnership for India ’ network business President Kim Young-ky, right, shakes hands with Indian telecom company Reliance Jio Infocomm President Jyotindra Thacker during a press conference at the Mobile World Congress 2017 in Barcelona, Tuesday (local time). / Courtesy of  By Le  2017-02-28",0.8358592987060547,Positive,2017-02-28
2123,"Park booked as bribery accompliceSpecial Prosecutor Park Young-soo / YonhapCounsel to indict  heir LeeBy Kim Bo-eunThe independent counsel team said in its final briefing Tuesday that it will book President Park Geun-hye and her confidant Choi Soon-sil as suspects of receiving bribes, and hand over the case to the prosecutio  2017-02-28",0.7934069633483887,Negative,2017-02-28
2124," disbands Future Strategy OfficeBy Kang Seung-woo Group revealed its plans to revamp the group’s management Tuesday, including dismantling its controversial Future Strategy Office.The nation’s largest conglomerate said it will no longer operate a unit to handle government affairs in what seems to be an effort to  2017-02-28",0.8100120425224304,Negative,2017-02-28
2126,"Counsel team to indict remaining suspects TuesdayBy Kim Bo-eunThe independent counsel team will indict suspects it has booked during its 70-day investigation into the presidential corruption scandal, as its mandate expires.“We will review the indictments of the suspects who have been booked up until now,” team spokesman Lee Kyu-chul sa  2017-02-27",0.7120713591575623,Positive,2017-02-27
2127," unveils Galaxy Tab S3Mark Notton, head of portfolio strategy at   Europe, introduces the company’s new tablet, the Galaxy Tab S3, at Catalonia Congress in Barcelona, Sunday (local time), a day before the beginning of the Mobile World Congress (MWC) 2017. / Courtesy of  Galaxy S8  2017-02-27",0.9585323929786682,Positive,2017-02-27
2128," gets back to basics for mobile rebound  mobile chief Cho Juno unveils the company’s smartphone business strategy, on the sidelines of this year’s Mobile World Congress (MWC), at the Melia Barcelona Sarria Hotel in Barcelona, Sunday (local time). / Courtesy of  By Lee Min-hyungBARCELONA ―  Electron  2017-02-27",0.9514826536178589,Positive,2017-02-27
2129,"Teaser shows  will debut Galaxy S8 on March 29A teaser video released by   Co. showed Monday that its new flagship Galaxy S8 smartphone will be unveiled on March 29 in New York.Announcing the date of the new smartphone at the annual Mobile World Congress event in Barcelona,  also said the S8 smartphone will offer a high  2017-02-27",0.9138489365577698,Positive,2017-02-27
2130," chief tops ranking of dividend income earnersLee Kun-hee, the ailing chief of South Korea's top conglomerate  Group, again topped the ranking of dividend income earners, data showed Monday.Dividend payouts to Lee, chairman of the group's flagship   Co., stood at 189.9 billion won ($167.6 million) so far this year, acco  2017-02-27",0.7676555514335632,Positive,2017-02-27
2131," carries out social programs in AsiaEmployees of  ’ Taiwanese subsidiary and doctors at Kaohsiung Medical University Chung-He Memorial Hospital pose during the opening ceremony of the smart school at the hospital in Kaohsiung City, Taiwan, on Jan. 4. / Courtesy of  By Yoon Sung-won Elec  2017-02-26",0.9085023403167725,Positive,2017-02-26
2133,", Apple compete for futuristic servicesBy Lee Min-hyung With Apple acquiring Israeli facial recognition startup RealFace, the competition is getting tougher among handset makers to introduce more futuristic bio authentication services for their upcoming flagship devices.According to local reports, the iPhone maker has recently taken over  2017-02-24",0.8817182779312134,Negative,2017-02-24
2136,"NPS report on pension age causing controversyBy Yoon Ja-youngThe National Pension Service (NPS) has recommended on upward adjustment of the pension eligibility age, stirring up controversy. While raising the age can delay the depletion of pension funds, experts point out that most Koreans don’t have enough income to make it until they re  2017-02-23",0.8908320069313049,Negative,2017-02-23
